"S.No.","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Manufacturer","Model","Type","Price.y","MPG.city","MPG.highway","AirBags","DriveTrain","Cylinders","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","5","7","8","4","6","2","NA","10","9","0"
0,"Maruti Wagon R LXI CNG","Mumbai",2010,72000,"CNG","Manual","First",26.6,998,58.16,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Hyundai Creta 1.6 CRDi SX Option","Pune",2015,41000,"Diesel","Manual","First",19.67,1582,126.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Honda Jazz V","Chennai",2011,46000,"Petrol","Manual","First",18.2,1199,88.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Maruti Ertiga VDI","Chennai",2012,87000,"Diesel","Manual","First",20.77,1248,88.76,"Chevrolet","Lumina_APV","Van",16.3,18,23,"None","Front","6",170,4800,1690,"No",20,178,110,74,44,30.5,NA,3715,"USA",NA,6,NA,NA,NA,NA,NA,NA,NA,NA
4,"Audi A4 New 2.0 TDI Multitronic","Coimbatore",2013,40670,"Diesel","Automatic","Second",15.2,1968,140.8,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",17.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Hyundai EON LPG Era Plus Option","Hyderabad",2012,75000,"LPG","Manual","First",21.1,814,55.2,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Nissan Micra Diesel XV","Jaipur",2013,86999,"Diesel","Manual","First",23.08,1461,63.1,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai",2016,36000,"Diesel","Automatic","First",11.36,2755,171.5,"Chevrolet","Astro","Van",16.6,15,20,"None","4WD","6",165,4000,1790,"No",27,194,111,78,42,33.5,NA,4025,"USA",NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA
8,"Volkswagen Vento Diesel Comfortline","Pune",2013,64430,"Diesel","Manual","First",20.54,1598,103.6,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Tata Indica Vista Quadrajet LS","Chennai",2012,65932,"Diesel","Manual","Second",22.3,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Maruti Ciaz Zeta","Kochi",2018,25692,"Petrol","Manual","First",21.56,1462,103.25,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Honda City 1.5 V AT Sunroof","Kolkata",2012,60000,"Petrol","Automatic","First",16.8,1497,116.3,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Maruti Swift VDI BSIV","Jaipur",2015,64424,"Diesel","Manual","First",25.2,1248,NA,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Land Rover Range Rover 2.2L Pure","Delhi",2014,72000,"Diesel","Automatic","First",12.7,2179,187.7,"Acura","Integra","Small",15.9,25,31,"None","Front","4",140,6300,2890,"Yes",13.2,177,102,68,37,26.5,11,2705,"non-USA",27,NA,NA,NA,NA,NA,NA,NA,NA,NA
